Size,Type,Time
1000,lib,0.091023207
1000,lib,0.013332628
1000,lib,0.013085929
1100,lib,0.09582638
1100,lib,0.016702209
1100,lib,0.016485711
1100,lib,0.016121913
1100,lib,0.092529399
1100,lib,0.094991185
1100,lib,0.092735398
1100,lib,0.098705565
1100,lib,0.01654061
1100,lib,0.016189213
1200,lib,0.099059263
1200,lib,0.098153069
1200,lib,0.099852959
1200,lib,0.096975375
1200,lib,0.099220663
1200,lib,0.097473872
1200,lib,0.09610518
1200,lib,0.094863787
1200,lib,0.102178047
1200,lib,0.097136574
1300,lib,0.10347714
1300,lib,0.102101447
1300,lib,0.102064347
1300,lib,0.102321646
1300,lib,0.105958826
1300,lib,0.100309656
1300,lib,0.18645129
1300,lib,0.179652827
1300,lib,0.10523303
1300,lib,0.102040847
1400,lib,0.188977677
1400,lib,0.185241197
1400,lib,0.076385287
1400,lib,0.10898511
1400,lib,0.189335474
1400,lib,0.108514113
1400,lib,0.182173313
1400,lib,0.191743162
1400,lib,0.183170008
1400,lib,0.184833899
1500,lib,0.196988033
1500,lib,0.194860345
1500,lib,0.19952382
1500,lib,0.112395692
1500,lib,0.198970123
1500,lib,0.195174043
1500,lib,0.19746223
1500,lib,0.19025657
1500,lib,0.197101532
1500,lib,0.192756556
