type,size,time
blas,1300,7.345021
blas,1300,7.276755
blas,1300,11.194610
blas,1300,7.610590
blas,1300,7.739488
blas,1300,11.182492
blas,1400,11.877648
blas,1400,9.347843
blas,1400,7.056824
blas,1400,6.194765
blas,1400,8.712525
blas,1400,6.519108
blas,1400,6.588138
blas,1400,8.771776
blas,1400,10.502109
blas,1400,6.890520
blas,1500,10.540061
blas,1500,13.119947
blas,1500,12.317926
blas,1500,6.941850
blas,1500,8.845035
blas,1500,17.269594
blas,1500,29.440215
blas,1500,15.468559
blas,1500,10.130807
blas,1500,15.920798
